Sitename	VGE	VGN	extant43_01	LandCover	TWIx1000	ThorPot07	ThorInvPot07	RoadDensity5K	AnnualRain	AnnualEvap	NetRainfall	NetRainfallStdev	MaxTempWarmestP	TempRange	Rad_Diffuse	Rad_Direct	PrecipSeasonality	Rad_Duration	MinTempColdestP	PrecipWarmestQ	PrecipColdestQ	NativeTreeProb	TreeProb1Ha_RegionMean	TreeProb10ha_RegionMean	TreeProb1Ha_RegionStdDev	TreeProb10ha_RegionStdDev	NativeGrassProb	GrassProb1Ha_RegionMean	GrassProb1Ha_RegionStdDev	GrassProb10ha_RegionMean	GrassProb10ha_RegionStdDev	B1_98_05	B2_98_05	B3_98_05	B4_98_05	B5_98_05	B7_98_05	Ndvi_89_05	Ndwi_89_05_Mean	Ndwi_89_05_StdError	B3_98_05_10ha_Mean	B4_98_05_10ha_Mean	B5_98_05_10ha_Mean	B6_98_05_10ha_Mean	Nvdi_98_05_10haMean	B3_98_05_10ha_StdDev	B4_98_05_10ha_StdDev	B5_98_05_10ha_StdDev	B6_98_05_10ha_StdDev	RiseX	RiseY	Height_100	Slope	Aspect	SalineLogDist	DistToRoad	FreshWaterLogDist	Flood	DistEdge	CurVegSat_PC1	CurVegSat_PC2	CurVegSat_PC3	CurVegSat_PC4	ClimTopo_PC1	ClimTopo_PC2	ClimTopo_PC3	ClimTopo_PC4
11.7.3 GHCMA	2286090.965	2403154.709	1	5	7613	459	438	35	632	1249	-617	72	251	213	333463	1069165	24	4176	37	106	195	100	100	100	0	0.418237209	74	63	19.64045906	48	29.86231041	46	33	39	64	133	54	0.296126366	-0.299190432	0.107923374	43	67	131	54	0.225720227	7	5	12	7	-4.797629833	11.30234432	205	7	337	13.38815022	918.3137207	3	1	35	3.432231426	-4.240738869	2.657532692	1.61719954	1.000308514	1.195294976	0.349186331	-0.777750373
11.7.4 GHCMA	2286208.425	2403264.793	1	4	7508	413	432	35	622	1256	-634	72	251	213	334391	1082129	24	4284	38	105	191	100	100	100	0	2.761410475	74	71	3.300072193	56	20.71285248	46	33	39	66	137	55	0.301915288	-0.306594253	0.098542668	40	66	128	52	0.24456808	6	4	14	7	-3.58992672	11.74191952	204	7	343	13.37040997	1068.27002	1	1	75	3.022023916	-2.950668812	2.413564205	1.515769958	0.87541908	1.459325314	0.362183213	-0.695089519
10.3.1 GHCMA	2287152.748	2389135.148	0	1	9108	428	462	46	642	1264	-622	72	248	206	333774	1015772	24	4348	41	107	199	100	100	100	0	4.18436718	49	48	12.13220787	29	18.02267647	46	31	35	51	94	46	0.183732882	-0.283836961	0.099094875	45	66	124	55	0.193631545	6	8	18	6	2.751795769	-2.149930954	137	2	128	13.87343979	0	3	1	0	2.292715073	-2.828460693	1.060500622	0.366642922	0.072284251	0.574129939	1.538713336	0.305814832
10.4.1 GHCMA	2287196.577	2389211.085	1	5	8989	426	467	46	644	1264	-620	72	248	206	333153	1019036	24	4295	40	107	200	100	100	100	0	0	54	41	18.06509399	27	17.45323563	50	35	42	64	126	55	0.2368958	-0.310248405	0.174889907	44	66	122	55	0.193038195	5	7	17	6	3.487288475	0.182765692	134	2	87	13.87526989	42.42641068	0	1	25	3.023474932	-2.590640783	1.001658201	1.34867692	0.115598217	0.606951416	1.527716398	0.744066715
10.2.2 GHCMA	2287650.557	2396257.665	1	1	9516	462	477	29	639	1254	-615	72	249	210	335694	1026550	24	4331	39	107	197	100	100	100	0.669043362	1.633333802	43	47	12.66735554	37	13.17938232	48	33	40	61	109	53	0.226288751	-0.279146135	0.10157802	43	65	127	57	0.205615208	5	4	15	6	0	0	177	0	198	13.75562	0	26	1	25	2.60992384	-1.940159321	1.48327291	0.603195846	-0.061920106	0.990086615	1.433146	-0.340055138
20.7.1 WCMA	2285048.708	2557862.752	1	4	9471	365	403	58	394	1477	-1083	81	299	269	333526	1022629	24	4346	30	71	122	100	100	100	0	0	54	48	11.57419109	39	22.39760971	51	36	41	54	107	46	0.142053828	-0.333786696	0.033761587	44	57	112	51	0.129709154	4	3	8	6	0	0	128	0	162	14.79386044	30	45	1	55	2.714279652	-2.001992941	3.055447817	-0.079655111	-2.179658651	0.084954955	-0.41568014	-0.071932934
12.2.1 WCMA	2288055.485	2496548.351	1	4	8438	396	563	25	588	1374	-786	83	283	252	336009	1022563	32	4287	32	92	207	42	23	12	20.7891922	17.85873604	70	56	12.95339584	51	16.42004204	44	31	36	61	116	49	0.238220721	-0.326212078	0.044168931	31	57	91	38	0.301162809	3	4	10	5	0	0	201	0	135	14.82028008	0	22	2	353	0.563000679	-3.696069479	3.191984892	-0.308355272	-1.077212095	0.373233587	0.559999585	0.284021705
12.1.1 GHCMA	2292275.765	2399433.784	1	4	8278	460	462	43	604	1262	-658	70	252	213	334607	1027156	23	4327	39	103	184	100	100	100	0.511766315	0.963140547	66	58	12.73371983	41	15.80031395	46	31	36	51	105	54	0.20479311	-0.318022132	0.102572285	44	62	126	60	0.165317073	4	6	14	4	1.732494235	0.212725595	157	1	83	13.08082008	0	11	1	35	2.562062502	-2.488674879	2.717113018	0.933383346	0.175185129	0.741970718	1.172811985	0.53987366
20.3.2 WCMA	2286249.209	2550700.439	1	4	9170	411	427	28	399	1469	-1070	81	298	268	331842	1009239	24	4264	30	71	125	100	100	100	0.462910056	0.693022013	72	70	6.279596806	53	25.82812881	51	34	41	57	114	51	0.18129012	-0.32687521	0.036510911	43	59	115	52	0.158090338	5	5	7	6	-3.415761709	-0.726055324	128	2	258	14.84549046	0	18	1	50	3.00507164	-2.795614243	3.518321514	0.601702213	-1.838647842	-0.273930609	-0.471384615	-0.84623009
20.3.1 WCMA	2286398.239	2548789.951	1	4	9157	366	453	27	399	1467	-1068	81	297	268	333372	1023726	25	4336	30	72	126	93	97	99	3.470968008	2.023081064	68	59	15.32738018	43	22.01006126	47	32	36	53	103	45	0.203918681	-0.315901369	0.035737008	41	59	113	51	0.181270719	4	5	7	5	0	0	133	0	-1	14.88053989	150	35	1	25	2.293122768	-2.875678778	3.423049927	0.539241076	-2.107381105	0.073797531	-0.136633471	1.009982228
