"Long","Lat","GridCMA"
141.486231416019,-37.6570293076136,"1.1.1ghcma"
141.450720875847,-37.6265969582463,"1.2.1ghcma"
141.447907409094,-37.6355399465587,"1.2.2ghcma"
141.45126700573,-37.6269554068635,"1.2.3ghcma"
141.465164444623,-37.7129246650211,"1.2.4ghcma"
141.504385300013,-37.7227951418077,"1.4.1ghcma"
141.376880391149,-37.5956693909502,"1.6.1ghcma"
141.952587830109,-37.4370192609611,"2.1.1ghcma"
141.873334970581,-37.3705527076102,"2.2.1ghcma"
141.784684614747,-37.6229558310176,"3.1.1ghcma"
141.802598498078,-37.6417631360434,"3.2.1ghcma"
141.905440687964,-37.6933488308398,"3.3.1ghcma"
141.934921757857,-37.7061606581481,"3.4.1ghcma"
141.922662054881,-37.700957559099,"3.4.2ghcma"
141.926422569819,-37.7023341087493,"3.4.3ghcma"
141.820830923724,-37.6649908746382,"3.5.1ghcma"
141.754790269704,-37.6082879378148,"3.6.1ghcma"
141.753639192952,-37.6064926342855,"3.6.2ghcma"
141.728004472113,-37.2497156136427,"4.1.1ghcma"
141.641693969915,-37.2330523467634,"4.1.2ghcma"
141.545481290067,-37.2087100897232,"4.2.1ghcma"
141.59141065036,-37.1963929046512,"4.2.2ghcma"
141.960902245967,-37.8860564505356,"5.1.1ghcma"
141.979944399329,-37.8693159874873,"5.2.1ghcma"
142.031226414039,-37.7219054605671,"6.1.1ghcma"
142.019215065778,-37.7172871281313,"6.1.2ghcma"
142.146102305644,-37.7323810113765,"6.2.1ghcma"
142.092889400715,-37.7431070339775,"6.3.1ghcma"
142.047630993404,-37.6717387640228,"6.4.1ghcma"
142.050976678519,-37.6822361902168,"6.4.2ghcma"
142.007437267877,-37.7758462728402,"6.5.1ghcma"
142.006399653281,-37.7830654508179,"6.5.2ghcma"
142.059213500439,-37.7438471161966,"6.6.1ghcma"
142.289426900646,-37.7917719284196,"7.1.1ghcma"
142.384365258595,-37.8339996878611,"7.2.1ghcma"
142.379472757733,-37.8287847886007,"7.2.2ghcma"
142.183375968393,-37.8040157104061,"7.3.1ghcma"
142.219745253031,-37.8238871817765,"7.4.1ghcma"
142.213100677555,-37.6188061219995,"8.1.1ghcma"
142.307398430428,-37.5956902515111,"8.2.1ghcma"
142.211553290718,-37.6030493105046,"8.3.1ghcma"
